1775      (number of data_lines)
    t[s]	       x	Tg[10^9K]	dTg/dt[10^9K/s]	rho_tot[g cm^-3]	 H[s^-1]	n nue->p e	p e->n nue	n->p e nue	p e nue->n	n e->p nue	p nue->n e
0.000000e+00	1.000000e-01	1.160450e+02	-7.860196e+03	8.205340e+09	6.773403e+01	4.251093e+07	3.735367e+07	5.636679e-01	4.952859e-01	4.251093e+07	3.735367e+07
1.476404e-04	1.010025e-01	1.148933e+02	-7.627923e+03	7.883906e+09	6.639408e+01	4.046465e+07	3.550968e+07	2.665519e-01	2.339114e-01	4.046426e+07	3.550912e+07
2.982581e-04	1.020151e-01	1.137529e+02	-7.403176e+03	7.575525e+09	6.508262e+01	3.852059e+07	3.375946e+07	2.667200e-01	2.337527e-01	3.852024e+07	3.375890e+07
4.519109e-04	1.030378e-01	1.126239e+02	-7.184926e+03	7.279205e+09	6.379706e+01	3.667016e+07	3.209527e+07	2.668899e-01	2.335923e-01	3.666982e+07	3.209472e+07
6.086599e-04	1.040707e-01	1.115061e+02	-6.973100e+03	6.994476e+09	6.253689e+01	3.490883e+07	3.051290e+07	2.670615e-01	2.334305e-01	3.490851e+07	3.051236e+07
7.685675e-04	1.051140e-01	1.103993e+02	-6.767516e+03	6.720884e+09	6.130161e+01	3.323232e+07	2.900834e+07	2.672348e-01	2.332670e-01	3.323201e+07	2.900781e+07
9.316974e-04	1.061678e-01	1.093036e+02	-6.567991e+03	6.457994e+09	6.009073e+01	3.163653e+07	2.757778e+07	2.674099e-01	2.331020e-01	3.163622e+07	2.757726e+07
1.098115e-03	1.072321e-01	1.082187e+02	-6.374349e+03	6.205387e+09	5.890377e+01	3.011756e+07	2.621757e+07	2.675869e-01	2.329354e-01	3.011726e+07	2.621707e+07
1.267885e-03	1.083071e-01	1.071446e+02	-6.186415e+03	5.962661e+09	5.774025e+01	2.867170e+07	2.492428e+07	2.677656e-01	2.327671e-01	2.867142e+07	2.492378e+07
1.441077e-03	1.093929e-01	1.060812e+02	-6.004021e+03	5.729429e+09	5.659972e+01	2.729545e+07	2.369461e+07	2.679462e-01	2.325973e-01	2.729517e+07	2.369412e+07
1.617758e-03	1.104896e-01	1.050283e+02	-5.827005e+03	5.505320e+09	5.548172e+01	2.598542e+07	2.252544e+07	2.681287e-01	2.324257e-01	2.598516e+07	2.252496e+07
1.798000e-03	1.115972e-01	1.039859e+02	-5.655207e+03	5.289977e+09	5.438580e+01	2.473844e+07	2.141380e+07	2.683130e-01	2.322526e-01	2.473819e+07	2.141334e+07
1.981874e-03	1.127160e-01	1.029538e+02	-5.488475e+03	5.083057e+09	5.331153e+01	2.355146e+07	2.035687e+07	2.684992e-01	2.320777e-01	2.355121e+07	2.035642e+07
2.169453e-03	1.138460e-01	1.019320e+02	-5.326658e+03	4.884231e+09	5.225848e+01	2.242158e+07	1.935196e+07	2.686874e-01	2.319012e-01	2.242135e+07	1.935151e+07
2.360812e-03	1.149873e-01	1.009203e+02	-5.169611e+03	4.693183e+09	5.122623e+01	2.134606e+07	1.839652e+07	2.688774e-01	2.317230e-01	2.134584e+07	1.839608e+07
2.556027e-03	1.161400e-01	9.991860e+01	-5.017195e+03	4.509607e+09	5.021437e+01	2.032228e+07	1.748811e+07	2.690695e-01	2.315430e-01	2.032206e+07	1.748768e+07
2.755175e-03	1.173043e-01	9.892689e+01	-4.869272e+03	4.333212e+09	4.922250e+01	1.934773e+07	1.662443e+07	2.692635e-01	2.313613e-01	1.934752e+07	1.662401e+07
2.958337e-03	1.184803e-01	9.794502e+01	-4.725711e+03	4.163717e+09	4.825021e+01	1.842005e+07	1.580328e+07	2.694595e-01	2.311779e-01	1.841985e+07	1.580286e+07
3.165593e-03	1.196681e-01	9.697290e+01	-4.586382e+03	4.000852e+09	4.729714e+01	1.753698e+07	1.502257e+07	2.696575e-01	2.309927e-01	1.753678e+07	1.502216e+07
3.377025e-03	1.208677e-01	9.601043e+01	-4.451160e+03	3.844357e+09	4.636289e+01	1.669636e+07	1.428031e+07	2.698576e-01	2.308057e-01	1.669617e+07	1.427991e+07
3.592717e-03	1.220794e-01	9.505752e+01	-4.319926e+03	3.693984e+09	4.544710e+01	1.589616e+07	1.357461e+07	2.700598e-01	2.306169e-01	1.589597e+07	1.357422e+07
3.812756e-03	1.233033e-01	9.411406e+01	-4.192560e+03	3.549492e+09	4.454939e+01	1.513442e+07	1.290369e+07	2.702640e-01	2.304263e-01	1.513424e+07	1.290330e+07
4.037229e-03	1.245394e-01	9.317997e+01	-4.068949e+03	3.410653e+09	4.366942e+01	1.440929e+07	1.226582e+07	2.704703e-01	2.302339e-01	1.440912e+07	1.226544e+07
4.266225e-03	1.257879e-01	9.225515e+01	-3.948983e+03	3.277244e+09	4.280683e+01	1.371900e+07	1.165938e+07	2.706788e-01	2.300396e-01	1.371884e+07	1.165901e+07
4.499835e-03	1.270489e-01	9.133951e+01	-3.832554e+03	3.149054e+09	4.196128e+01	1.306189e+07	1.108284e+07	2.708894e-01	2.298434e-01	1.306173e+07	1.108247e+07
4.738153e-03	1.283226e-01	9.043296e+01	-3.719557e+03	3.025878e+09	4.113243e+01	1.243635e+07	1.053471e+07	2.711022e-01	2.296454e-01	1.243619e+07	1.053435e+07
4.981273e-03	1.296090e-01	8.953541e+01	-3.609891e+03	2.907520e+09	4.031995e+01	1.184085e+07	1.001361e+07	2.713172e-01	2.294454e-01	1.184071e+07	1.001326e+07
5.229293e-03	1.309083e-01	8.864677e+01	-3.503459e+03	2.793792e+09	3.952353e+01	1.127396e+07	9.518195e+06	2.715344e-01	2.292436e-01	1.127382e+07	9.517851e+06
5.482310e-03	1.322207e-01	8.776695e+01	-3.400165e+03	2.684512e+09	3.874283e+01	1.073430e+07	9.047213e+06	2.717538e-01	2.290398e-01	1.073416e+07	9.046875e+06
5.740425e-03	1.335462e-01	8.689586e+01	-3.299916e+03	2.579507e+09	3.797756e+01	1.022055e+07	8.599460e+06	2.719755e-01	2.288340e-01	1.022042e+07	8.599128e+06
6.003742e-03	1.348850e-01	8.603342e+01	-3.202622e+03	2.478609e+09	3.722740e+01	9.731466e+06	8.173792e+06	2.721995e-01	2.286263e-01	9.731341e+06	8.173466e+06
6.272364e-03	1.362372e-01	8.517955e+01	-3.108197e+03	2.381658e+09	3.649206e+01	9.265864e+06	7.769124e+06	2.724259e-01	2.284166e-01	9.265743e+06	7.768803e+06
6.546400e-03	1.376030e-01	8.433415e+01	-3.016556e+03	2.288499e+09	3.577124e+01	8.822612e+06	7.384422e+06	2.726545e-01	2.282049e-01	8.822496e+06	7.384106e+06
6.825958e-03	1.389825e-01	8.349714e+01	-2.927617e+03	2.198985e+09	3.506467e+01	8.400634e+06	7.018703e+06	2.728856e-01	2.279911e-01	8.400522e+06	7.018394e+06
7.111149e-03	1.403758e-01	8.266844e+01	-2.841300e+03	2.112971e+09	3.437205e+01	7.998906e+06	6.671035e+06	2.731190e-01	2.277753e-01	7.998798e+06	6.670730e+06
7.402086e-03	1.417831e-01	8.184797e+01	-2.757528e+03	2.030322e+09	3.369311e+01	7.616454e+06	6.340527e+06	2.733548e-01	2.275575e-01	7.616350e+06	6.340228e+06
7.698887e-03	1.432044e-01	8.103564e+01	-2.676225e+03	1.950906e+09	3.302759e+01	7.252350e+06	6.026336e+06	2.735931e-01	2.273376e-01	7.252251e+06	6.026042e+06
8.001668e-03	1.446401e-01	8.023138e+01	-2.597320e+03	1.874597e+09	3.237521e+01	6.905713e+06	5.727659e+06	2.738338e-01	2.271155e-01	6.905617e+06	5.727370e+06
8.310550e-03	1.460901e-01	7.943510e+01	-2.520741e+03	1.801272e+09	3.173572e+01	6.575701e+06	5.443731e+06	2.740771e-01	2.268914e-01	6.575609e+06	5.443447e+06
8.625656e-03	1.475546e-01	7.864673e+01	-2.446420e+03	1.730816e+09	3.110886e+01	6.261515e+06	5.173827e+06	2.743228e-01	2.266651e-01	6.261427e+06	5.173547e+06
8.947112e-03	1.490339e-01	7.786618e+01	-2.374289e+03	1.663115e+09	3.049438e+01	5.962394e+06	4.917255e+06	2.745711e-01	2.264367e-01	5.962309e+06	4.916980e+06
