The data is taken from SM-sinsquare13=0.047.normh_y.dat produced by the sm in Astray/SM+oscillations, oscillations are taken into account, mass hieararchy is normal
xx=1.275222e+01, dx=2.519381e-02, T=1.303505e+00; time needed till here: 1.000000e+00 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau_normh	Coll_nu_tau_normh	Cforw_nu_tau_normh	Cback_nu_tau_normh
0.000000e+00	     inf	6.698674e-03	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00
3.030303e-01	3.820921e+00	6.662823e-03	4.247380e-01	0.000000e+00	-0.000000e+00	0.000000e+00	4.247416e-01	0.000000e+00	-0.000000e+00	0.000000e+00	4.247488e-01	0.000000e+00	-0.000000e+00	0.000000e+00
6.060606e-01	1.689389e+00	6.556637e-03	3.528870e-01	0.000000e+00	-0.000000e+00	0.000000e+00	3.528896e-01	0.000000e+00	-0.000000e+00	0.000000e+00	3.528914e-01	0.000000e+00	-0.000000e+00	0.000000e+00
9.090909e-01	9.915078e-01	6.384113e-03	2.871533e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.871532e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.871451e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.212121e+00	6.517883e-01	6.151588e-03	2.293409e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.293376e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.293190e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.515152e+00	4.550637e-01	5.867282e-03	1.802356e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.802293e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.802016e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.818182e+00	3.295617e-01	5.540746e-03	1.397446e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.397362e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.397023e-01	0.000000e+00	-0.000000e+00	0.000000e+00
2.121212e+00	2.444876e-01	5.182259e-03	1.071667e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.071570e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.071195e-01	0.000000e+00	-0.000000e+00	0.000000e+00
2.424242e+00	1.844210e-01	4.802238e-03	8.146752e-02	0.000000e+00	-0.000000e+00	0.000000e+00	8.145733e-02	0.000000e+00	-0.000000e+00	0.000000e+00	8.141907e-02	0.000000e+00	-0.000000e+00	0.000000e+00
2.727273e+00	1.407812e-01	4.410710e-03	6.150979e-02	0.000000e+00	-0.000000e+00	0.000000e+00	6.149963e-02	0.000000e+00	-0.000000e+00	0.000000e+00	6.146230e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.030303e+00	1.084132e-01	4.016884e-03	4.619734e-02	0.000000e+00	-0.000000e+00	0.000000e+00	4.618770e-02	0.000000e+00	-0.000000e+00	0.000000e+00	4.615276e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.333333e+00	8.403532e-02	3.628836e-03	3.455766e-02	0.000000e+00	-0.000000e+00	0.000000e+00	3.454887e-02	0.000000e+00	-0.000000e+00	0.000000e+00	3.451724e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.636364e+00	6.546283e-02	3.253320e-03	2.577269e-02	0.000000e+00	-0.000000e+00	0.000000e+00	2.576482e-02	0.000000e+00	-0.000000e+00	0.000000e+00	2.573676e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.939394e+00	5.118884e-02	2.895689e-03	1.917747e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.917057e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.914612e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.242424e+00	4.014452e-02	2.559909e-03	1.424573e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.423980e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.421889e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.545455e+00	3.155461e-02	2.248653e-03	1.056891e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.056390e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.054628e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.848485e+00	2.484663e-02	1.963442e-03	7.833908e-03	0.000000e+00	-0.000000e+00	0.000000e+00	7.829700e-03	0.000000e+00	-0.000000e+00	0.000000e+00	7.814954e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.151515e+00	1.959174e-02	1.704814e-03	5.802762e-03	0.000000e+00	-0.000000e+00	0.000000e+00	5.799257e-03	0.000000e+00	-0.000000e+00	0.000000e+00	5.787021e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.454545e+00	1.546499e-02	1.472506e-03	4.296078e-03	0.000000e+00	-0.000000e+00	0.000000e+00	4.293193e-03	0.000000e+00	-0.000000e+00	0.000000e+00	4.283140e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.757576e+00	1.221791e-02	1.265635e-03	3.179439e-03	0.000000e+00	-0.000000e+00	0.000000e+00	3.177085e-03	0.000000e+00	-0.000000e+00	0.000000e+00	3.168891e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.060606e+00	9.659075e-03	1.082861e-03	2.352419e-03	0.000000e+00	-0.000000e+00	0.000000e+00	2.350513e-03	0.000000e+00	-0.000000e+00	0.000000e+00	2.343878e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.363636e+00	7.640193e-03	9.225357e-04	1.740221e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.738679e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.733321e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.666667e+00	6.045812e-03	7.828248e-04	1.287188e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.285944e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.281631e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.969697e+00	4.785732e-03	6.618106e-04	9.520026e-04	0.000000e+00	-0.000000e+00	0.000000e+00	9.510049e-04	0.000000e+00	-0.000000e+00	0.000000e+00	9.475541e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.272727e+00	3.789270e-03	5.575699e-04	7.040517e-04	0.000000e+00	-0.000000e+00	0.000000e+00	7.032573e-04	0.000000e+00	-0.000000e+00	0.000000e+00	7.005109e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.575758e+00	3.000905e-03	4.682337e-04	5.206630e-04	0.000000e+00	-0.000000e+00	0.000000e+00	5.200325e-04	0.000000e+00	-0.000000e+00	0.000000e+00	5.178532e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.878788e+00	2.376950e-03	3.920286e-04	3.850363e-04	0.000000e+00	-0.000000e+00	0.000000e+00	3.845372e-04	0.000000e+00	-0.000000e+00	0.000000e+00	3.828124e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.181818e+00	1.882973e-03	3.273044e-04	2.847366e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.843428e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.829818e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.484848e+00	1.491807e-03	2.725498e-04	2.105677e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.102572e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.091846e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.787879e+00	1.181996e-03	2.263991e-04	1.557208e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.554761e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.546321e-04	0.000000e+00	-0.000000e+00	0.000000e+00
9.090909e+00	9.365862e-04	1.876324e-04	1.151606e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.149682e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.143059e-04	0.000000e+00	-0.000000e+00	0.000000e+00
9.393939e+00	7.421666e-04	1.551706e-04	8.516476e-05	0.000000e+00	-0.000000e+00	0.000000e+00	8.501424e-05	0.000000e+00	-0.000000e+00	0.000000e+00	8.449642e-05	0.000000e+00	-0.000000e+00	0.000000e+00
9.696970e+00	5.881290e-04	1.280675e-04	6.298258e-05	0.000000e+00	-0.000000e+00	0.000000e+00	6.286516e-05	0.000000e+00	-0.000000e+00	0.000000e+00	6.246137e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.000000e+01	4.660770e-04	1.054998e-04	4.657891e-05	0.000000e+00	-0.000000e+00	0.000000e+00	4.648751e-05	0.000000e+00	-0.000000e+00	0.000000e+00	4.617323e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.030303e+01	3.693633e-04	8.675572e-05	3.444858e-05	0.000000e+00	-0.000000e+00	0.000000e+00	3.437752e-05	0.000000e+00	-0.000000e+00	0.000000e+00	3.413317e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.060606e+01	2.927241e-04	7.122393e-05	2.547815e-05	0.000000e+00	-0.000000e+00	0.000000e+00	2.542296e-05	0.000000e+00	-0.000000e+00	0.000000e+00	2.523313e-05	0.000000e+00	-0.000000e+00	0.000000e+00
