The data is taken from SM-sinsquare13=0.normh_y.dat produced by the sm in Astray/SM+osciillations, oscillations are taken into account, mass hieararchy is normal
xx=1.276137e+02, dx=2.521190e-01, T=1.400445e+00; time needed till here: 2.000000e+00 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau_normh	Coll_nu_tau_normh	Cforw_nu_tau_normh	Cback_nu_tau_normh
0.000000e+00	     inf	5.989947e-21	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00	5.000000e-01	0.000000e+00	-0.000000e+00	0.000000e+00
3.030303e-01	4.139485e+00	5.986936e-21	4.247383e-01	0.000000e+00	-0.000000e+00	0.000000e+00	4.247426e-01	0.000000e+00	-0.000000e+00	0.000000e+00	4.247476e-01	0.000000e+00	-0.000000e+00	0.000000e+00
6.060606e-01	1.846685e+00	5.977913e-21	3.528886e-01	0.000000e+00	-0.000000e+00	0.000000e+00	3.528914e-01	0.000000e+00	-0.000000e+00	0.000000e+00	3.528881e-01	0.000000e+00	-0.000000e+00	0.000000e+00
9.090909e-01	1.094208e+00	5.962906e-21	2.871565e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.871557e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.871390e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.212121e+00	7.266092e-01	5.941960e-21	2.293457e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.293408e-01	0.000000e+00	-0.000000e+00	0.000000e+00	2.293103e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.515152e+00	5.127412e-01	5.915141e-21	1.802415e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.802330e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.801909e-01	0.000000e+00	-0.000000e+00	0.000000e+00
1.818182e+00	3.755130e-01	5.882529e-21	1.397512e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.397400e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.396904e-01	0.000000e+00	-0.000000e+00	0.000000e+00
2.121212e+00	2.818551e-01	5.844225e-21	1.071737e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.071608e-01	0.000000e+00	-0.000000e+00	0.000000e+00	1.071071e-01	0.000000e+00	-0.000000e+00	0.000000e+00
2.424242e+00	2.152116e-01	5.800344e-21	8.147438e-02	0.000000e+00	-0.000000e+00	0.000000e+00	8.146100e-02	0.000000e+00	-0.000000e+00	0.000000e+00	8.140679e-02	0.000000e+00	-0.000000e+00	0.000000e+00
2.727273e+00	1.663708e-01	5.751019e-21	6.151629e-02	0.000000e+00	-0.000000e+00	0.000000e+00	6.150303e-02	0.000000e+00	-0.000000e+00	0.000000e+00	6.145065e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.030303e+00	1.297980e-01	5.696397e-21	4.620331e-02	0.000000e+00	-0.000000e+00	0.000000e+00	4.619077e-02	0.000000e+00	-0.000000e+00	0.000000e+00	4.614208e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.333333e+00	1.019677e-01	5.636643e-21	3.456300e-02	0.000000e+00	-0.000000e+00	0.000000e+00	3.455157e-02	0.000000e+00	-0.000000e+00	0.000000e+00	3.450771e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.636364e+00	8.052994e-02	5.571931e-21	2.577737e-02	0.000000e+00	-0.000000e+00	0.000000e+00	2.576717e-02	0.000000e+00	-0.000000e+00	0.000000e+00	2.572840e-02	0.000000e+00	-0.000000e+00	0.000000e+00
3.939394e+00	6.386044e-02	5.502453e-21	1.918151e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.917257e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.913892e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.242424e+00	5.080373e-02	5.428410e-21	1.424916e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.424149e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.421278e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.545455e+00	4.051822e-02	5.350014e-21	1.057178e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.056531e-02	0.000000e+00	-0.000000e+00	0.000000e+00	1.054115e-02	0.000000e+00	-0.000000e+00	0.000000e+00
4.848485e+00	3.237924e-02	5.267491e-21	7.836298e-03	0.000000e+00	-0.000000e+00	0.000000e+00	7.830867e-03	0.000000e+00	-0.000000e+00	0.000000e+00	7.810692e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.151515e+00	2.591587e-02	5.181071e-21	5.804735e-03	0.000000e+00	-0.000000e+00	0.000000e+00	5.800217e-03	0.000000e+00	-0.000000e+00	0.000000e+00	5.783503e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.454545e+00	2.076864e-02	5.090994e-21	4.297693e-03	0.000000e+00	-0.000000e+00	0.000000e+00	4.293975e-03	0.000000e+00	-0.000000e+00	0.000000e+00	4.280261e-03	0.000000e+00	-0.000000e+00	0.000000e+00
5.757576e+00	1.666032e-02	4.997509e-21	3.180751e-03	0.000000e+00	-0.000000e+00	0.000000e+00	3.177719e-03	0.000000e+00	-0.000000e+00	0.000000e+00	3.166552e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.060606e+00	1.337533e-02	4.900867e-21	2.353479e-03	0.000000e+00	-0.000000e+00	0.000000e+00	2.351024e-03	0.000000e+00	-0.000000e+00	0.000000e+00	2.341988e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.363636e+00	1.074490e-02	4.801326e-21	1.741075e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.739090e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.731799e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.666667e+00	8.636191e-03	4.699145e-21	1.287873e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.286272e-03	0.000000e+00	-0.000000e+00	0.000000e+00	1.280410e-03	0.000000e+00	-0.000000e+00	0.000000e+00
6.969697e+00	6.944161e-03	4.594589e-21	9.525497e-04	0.000000e+00	-0.000000e+00	0.000000e+00	9.512669e-04	0.000000e+00	-0.000000e+00	0.000000e+00	9.465790e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.272727e+00	5.585475e-03	4.487921e-21	7.044865e-04	0.000000e+00	-0.000000e+00	0.000000e+00	7.034653e-04	0.000000e+00	-0.000000e+00	0.000000e+00	6.997360e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.575758e+00	4.493814e-03	4.379404e-21	5.210074e-04	0.000000e+00	-0.000000e+00	0.000000e+00	5.201971e-04	0.000000e+00	-0.000000e+00	0.000000e+00	5.172392e-04	0.000000e+00	-0.000000e+00	0.000000e+00
7.878788e+00	3.616281e-03	4.269301e-21	3.853085e-04	0.000000e+00	-0.000000e+00	0.000000e+00	3.846671e-04	0.000000e+00	-0.000000e+00	0.000000e+00	3.823270e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.181818e+00	2.910606e-03	4.157874e-21	2.849511e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.844452e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.825991e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.484848e+00	2.342957e-03	4.045380e-21	2.107365e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.103377e-04	0.000000e+00	-0.000000e+00	0.000000e+00	2.088833e-04	0.000000e+00	-0.000000e+00	0.000000e+00
8.787879e+00	1.886223e-03	3.932071e-21	1.558535e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.555393e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.543954e-04	0.000000e+00	-0.000000e+00	0.000000e+00
9.090909e+00	1.518660e-03	3.818198e-21	1.152645e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.150177e-04	0.000000e+00	-0.000000e+00	0.000000e+00	1.141204e-04	0.000000e+00	-0.000000e+00	0.000000e+00
9.393939e+00	1.222810e-03	3.704003e-21	8.524600e-05	0.000000e+00	-0.000000e+00	0.000000e+00	8.505284e-05	0.000000e+00	-0.000000e+00	0.000000e+00	8.435157e-05	0.000000e+00	-0.000000e+00	0.000000e+00
9.696970e+00	9.846508e-04	3.589721e-21	6.304589e-05	0.000000e+00	-0.000000e+00	0.000000e+00	6.289522e-05	0.000000e+00	-0.000000e+00	0.000000e+00	6.234849e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.000000e+01	7.929134e-04	3.475581e-21	4.662816e-05	0.000000e+00	-0.000000e+00	0.000000e+00	4.651089e-05	0.000000e+00	-0.000000e+00	0.000000e+00	4.608541e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.030303e+01	6.385361e-04	3.361805e-21	3.448685e-05	0.000000e+00	-0.000000e+00	0.000000e+00	3.439568e-05	0.000000e+00	-0.000000e+00	0.000000e+00	3.406491e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.060606e+01	5.142310e-04	3.248604e-21	2.550786e-05	0.000000e+00	-0.000000e+00	0.000000e+00	2.543706e-05	0.000000e+00	-0.000000e+00	0.000000e+00	2.518013e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.090909e+01	4.141346e-04	3.136180e-21	1.886733e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.881238e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.861297e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.121212e+01	3.335287e-04	3.024728e-21	1.395600e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.391338e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.375874e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.151515e+01	2.686159e-04	2.914430e-21	1.032337e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.029036e-05	0.000000e+00	-0.000000e+00	0.000000e+00	1.017064e-05	0.000000e+00	-0.000000e+00	0.000000e+00
1.181818e+01	2.163395e-04	2.805459e-21	7.636545e-06	0.000000e+00	-0.000000e+00	0.000000e+00	7.611000e-06	0.000000e+00	-0.000000e+00	0.000000e+00	7.518380e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.212121e+01	1.742385e-04	2.697977e-21	5.649172e-06	0.000000e+00	-0.000000e+00	0.000000e+00	5.629399e-06	0.000000e+00	-0.000000e+00	0.000000e+00	5.557804e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.242424e+01	1.403318e-04	2.592134e-21	4.179027e-06	0.000000e+00	-0.000000e+00	0.000000e+00	4.163752e-06	0.000000e+00	-0.000000e+00	0.000000e+00	4.108510e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.272727e+01	1.130241e-04	2.488071e-21	3.091451e-06	0.000000e+00	-0.000000e+00	0.000000e+00	3.079685e-06	0.000000e+00	-0.000000e+00	0.000000e+00	3.037164e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.303030e+01	9.103076e-05	2.385917e-21	2.286938e-06	0.000000e+00	-0.000000e+00	0.000000e+00	2.277891e-06	0.000000e+00	-0.000000e+00	0.000000e+00	2.245211e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.333333e+01	7.331742e-05	2.285788e-21	1.691824e-06	0.000000e+00	-0.000000e+00	0.000000e+00	1.684877e-06	0.000000e+00	-0.000000e+00	0.000000e+00	1.659787e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.363636e+01	5.905106e-05	2.187792e-21	1.251613e-06	0.000000e+00	-0.000000e+00	0.000000e+00	1.246281e-06	0.000000e+00	-0.000000e+00	0.000000e+00	1.227028e-06	0.000000e+00	-0.000000e+00	0.000000e+00
1.393939e+01	4.756083e-05	2.092023e-21	9.259739e-07	0.000000e+00	-0.000000e+00	0.000000e+00	9.218842e-07	0.000000e+00	-0.000000e+00	0.000000e+00	9.071185e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.424242e+01	3.830647e-05	1.998566e-21	6.850805e-07	0.000000e+00	-0.000000e+00	0.000000e+00	6.819452e-07	0.000000e+00	-0.000000e+00	0.000000e+00	6.706263e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.454545e+01	3.085287e-05	1.907495e-21	5.068725e-07	0.000000e+00	-0.000000e+00	0.000000e+00	5.044700e-07	0.000000e+00	-0.000000e+00	0.000000e+00	4.957976e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.484848e+01	2.484962e-05	1.818872e-21	3.750337e-07	0.000000e+00	-0.000000e+00	0.000000e+00	3.731937e-07	0.000000e+00	-0.000000e+00	0.000000e+00	3.665519e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.515152e+01	2.001448e-05	1.732752e-21	2.774960e-07	0.000000e+00	-0.000000e+00	0.000000e+00	2.760873e-07	0.000000e+00	-0.000000e+00	0.000000e+00	2.710028e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.545455e+01	1.612016e-05	1.649175e-21	2.053329e-07	0.000000e+00	-0.000000e+00	0.000000e+00	2.042548e-07	0.000000e+00	-0.000000e+00	0.000000e+00	2.003638e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.575758e+01	1.298359e-05	1.568177e-21	1.519411e-07	0.000000e+00	-0.000000e+00	0.000000e+00	1.511164e-07	0.000000e+00	-0.000000e+00	0.000000e+00	1.481401e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.606061e+01	1.045732e-05	1.489780e-21	1.124364e-07	0.000000e+00	-0.000000e+00	0.000000e+00	1.118058e-07	0.000000e+00	-0.000000e+00	0.000000e+00	1.095302e-07	0.000000e+00	-0.000000e+00	0.000000e+00
1.636364e+01	8.422599e-06	1.414000e-21	8.320547e-08	0.000000e+00	-0.000000e+00	0.000000e+00	8.272351e-08	0.000000e+00	-0.000000e+00	0.000000e+00	8.098447e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.666667e+01	6.783786e-06	1.340844e-21	6.157582e-08	0.000000e+00	-0.000000e+00	0.000000e+00	6.120761e-08	0.000000e+00	-0.000000e+00	0.000000e+00	5.987925e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.696970e+01	5.463844e-06	1.270311e-21	4.557010e-08	0.000000e+00	-0.000000e+00	0.000000e+00	4.528884e-08	0.000000e+00	-0.000000e+00	0.000000e+00	4.427467e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.727273e+01	4.400728e-06	1.202392e-21	3.372528e-08	0.000000e+00	-0.000000e+00	0.000000e+00	3.351048e-08	0.000000e+00	-0.000000e+00	0.000000e+00	3.273670e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.757576e+01	3.544466e-06	1.137071e-21	2.495930e-08	0.000000e+00	-0.000000e+00	0.000000e+00	2.479541e-08	0.000000e+00	-0.000000e+00	0.000000e+00	2.420559e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.787879e+01	2.854810e-06	1.074326e-21	1.847129e-08	0.000000e+00	-0.000000e+00	0.000000e+00	1.834649e-08	0.000000e+00	-0.000000e+00	0.000000e+00	1.789765e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.818182e+01	2.299343e-06	1.014128e-21	1.366984e-08	0.000000e+00	-0.000000e+00	0.000000e+00	1.357491e-08	0.000000e+00	-0.000000e+00	0.000000e+00	1.323367e-08	0.000000e+00	-0.000000e+00	0.000000e+00
1.848485e+01	1.851954e-06	9.564429e-22	1.011673e-08	0.000000e+00	-0.000000e+00	0.000000e+00	1.004456e-08	0.000000e+00	-0.000000e+00	0.000000e+00	9.785208e-09	0.000000e+00	-0.000000e+00	0.000000e+00
1.878788e+01	1.491615e-06	9.012319e-22	7.487351e-09	0.000000e+00	-0.000000e+00	0.000000e+00	7.432495e-09	0.000000e+00	-0.000000e+00	0.000000e+00	7.235449e-09	0.000000e+00	-0.000000e+00	0.000000e+00
1.909091e+01	1.201388e-06	8.484507e-22	5.541509e-09	0.000000e+00	-0.000000e+00	0.000000e+00	5.499828e-09	0.000000e+00	-0.000000e+00	0.000000e+00	5.350165e-09	0.000000e+00	-0.000000e+00	0.000000e+00
1.939394e+01	9.676316e-07	7.980510e-22	4.101471e-09	0.000000e+00	-0.000000e+00	0.000000e+00	4.069810e-09	0.000000e+00	-0.000000e+00	0.000000e+00	3.956169e-09	0.000000e+00	-0.000000e+00	0.000000e+00
