
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau	rho_steriles	n_steriles	f0_steriles	f0.2_steriles	f3_steriles	f5_steriles	f7_steriles
1.999600e-02	7.993603e-07	1.000000e+00	3.608297e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	7.168909e-02	4.554028e-02	5.000000e-01	4.012193e-01	2.458338e-03	4.496053e-05	8.203346e-07
2.000000e-02	7.999998e-07	1.000000e+00	3.656134e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	1.195259e-01	4.571597e-02	5.000000e-01	4.031349e-01	2.460595e-03	4.497363e-05	8.204329e-07
2.000400e-02	8.006402e-07	1.000000e+00	3.656149e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	1.195403e-01	4.571600e-02	4.999999e-01	4.031349e-01	2.460597e-03	4.497384e-05	8.204601e-07
2.000800e-02	8.012815e-07	1.000000e+00	3.656163e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	1.195548e-01	4.571602e-02	4.999999e-01	4.031349e-01	2.460599e-03	4.497405e-05	8.204873e-07
2.001201e-02	8.019237e-07	1.000000e+00	3.656177e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	1.195693e-01	4.571604e-02	4.999999e-01	4.031349e-01	2.460601e-03	4.497426e-05	8.205146e-07
2.001602e-02	8.025668e-07	1.000000e+00	3.656192e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110511e-04	1.195838e-01	4.571606e-02	4.999999e-01	4.031349e-01	2.460603e-03	4.497447e-05	8.205419e-07
2.002004e-02	8.032108e-07	1.000000e+00	3.656206e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	1.195983e-01	4.571609e-02	4.999998e-01	4.031349e-01	2.460605e-03	4.497468e-05	8.205692e-07
2.002405e-02	8.038557e-07	1.000000e+00	3.656221e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	1.196128e-01	4.571611e-02	4.999998e-01	4.031348e-01	2.460607e-03	4.497489e-05	8.205965e-07
2.002808e-02	8.045015e-07	1.000000e+00	3.656235e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	1.196274e-01	4.571613e-02	4.999998e-01	4.031348e-01	2.460609e-03	4.497510e-05	8.206239e-07
2.003210e-02	8.051482e-07	1.000000e+00	3.656250e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	5.757269e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692850e-03	9.110511e-04	1.196419e-01	4.571615e-02	4.999997e-01	4.031348e-01	2.460611e-03	4.497531e-05	8.206513e-07
