
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau	rho_steriles	n_steriles	f0_steriles	f0.2_steriles	f3_steriles	f5_steriles	f7_steriles
1.999600e-02	7.993603e-07	1.000000e+00	3.608297e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	7.168909e-02	4.554028e-02	5.000000e-01	4.012193e-01	2.458338e-03	4.496053e-05	8.203346e-07
2.000000e-02	7.999998e-07	1.000000e+00	4.478260e+00	6.579738e-01	2.435877e-01	1.151454e+00	3.653816e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692853e-03	9.110515e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692853e-03	9.110515e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692853e-03	9.110515e-04	9.416514e-01	4.577534e-02	4.999996e-01	4.031442e-01	2.465453e-03	4.504909e-05	8.212483e-07
2.000400e-02	8.006402e-07	1.000000e+00	4.478447e+00	6.579739e-01	2.435878e-01	1.151454e+00	3.653816e-01	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692855e-03	9.110520e-04	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692855e-03	9.110520e-04	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692855e-03	9.110520e-04	9.418374e-01	4.577530e-02	4.999991e-01	4.031438e-01	2.465451e-03	4.504904e-05	8.212476e-07
2.000800e-02	8.012815e-07	1.000000e+00	4.478634e+00	6.579741e-01	2.435878e-01	1.151455e+00	3.653817e-01	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04	9.420236e-01	4.577525e-02	4.999986e-01	4.031434e-01	2.465448e-03	4.504900e-05	8.212469e-07
2.001201e-02	8.019237e-07	1.000000e+00	4.478822e+00	6.579743e-01	2.435879e-01	1.151455e+00	3.653818e-01	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110528e-04	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110528e-04	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110528e-04	9.422099e-01	4.577521e-02	4.999981e-01	4.031430e-01	2.465446e-03	4.504896e-05	8.212461e-07
2.001602e-02	8.025668e-07	1.000000e+00	4.479009e+00	6.579745e-01	2.435879e-01	1.151455e+00	3.653819e-01	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110532e-04	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110532e-04	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110532e-04	9.423964e-01	4.577516e-02	4.999976e-01	4.031426e-01	2.465443e-03	4.504892e-05	8.212454e-07
2.002004e-02	8.032108e-07	1.000000e+00	4.479197e+00	6.579746e-01	2.435880e-01	1.151456e+00	3.653819e-01	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04	9.425830e-01	4.577512e-02	4.999971e-01	4.031422e-01	2.465441e-03	4.504888e-05	8.212446e-07
2.002405e-02	8.038557e-07	1.000000e+00	4.479384e+00	6.579748e-01	2.435880e-01	1.151456e+00	3.653820e-01	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04	9.427698e-01	4.577507e-02	4.999966e-01	4.031418e-01	2.465439e-03	4.504883e-05	8.212439e-07
2.002808e-02	8.045015e-07	1.000001e+00	4.479572e+00	6.579750e-01	2.435881e-01	1.151456e+00	3.653821e-01	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04	9.429567e-01	4.577502e-02	4.999961e-01	4.031414e-01	2.465436e-03	4.504879e-05	8.212431e-07
2.003210e-02	8.051482e-07	1.000001e+00	4.479760e+00	6.579752e-01	2.435881e-01	1.151457e+00	3.653822e-01	5.757283e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110549e-04	5.757283e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110549e-04	5.757283e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110549e-04	9.431438e-01	4.577498e-02	4.999956e-01	4.031410e-01	2.465434e-03	4.504875e-05	8.212424e-07
