
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau	rho_steriles	n_steriles	f0_steriles	f0.2_steriles	f3_steriles	f5_steriles	f7_steriles
1.999600e-02	7.993603e-07	1.000000e+00	3.608297e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	7.168909e-02	4.554028e-02	5.000000e-01	4.012193e-01	2.458338e-03	4.496053e-05	8.203346e-07
2.000000e-02	7.999998e-07	1.000000e+00	4.071110e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.345018e-01	4.577312e-02	5.000000e-01	4.031443e-01	2.465154e-03	4.503963e-05	8.210815e-07
2.000400e-02	8.006402e-07	1.000000e+00	4.071215e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.346062e-01	4.577311e-02	4.999999e-01	4.031443e-01	2.465154e-03	4.503963e-05	8.210816e-07
2.000800e-02	8.012815e-07	1.000000e+00	4.071319e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110513e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110513e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110513e-04	5.347107e-01	4.577311e-02	4.999999e-01	4.031442e-01	2.465154e-03	4.503964e-05	8.210818e-07
2.001201e-02	8.019237e-07	1.000000e+00	4.071424e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.348153e-01	4.577311e-02	4.999998e-01	4.031442e-01	2.465153e-03	4.503964e-05	8.210819e-07
2.001602e-02	8.025668e-07	1.000000e+00	4.071528e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692851e-03	9.110513e-04	5.349200e-01	4.577310e-02	4.999998e-01	4.031441e-01	2.465153e-03	4.503964e-05	8.210820e-07
2.002004e-02	8.032108e-07	1.000000e+00	4.071633e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.350247e-01	4.577310e-02	4.999997e-01	4.031441e-01	2.465153e-03	4.503964e-05	8.210821e-07
2.002405e-02	8.038557e-07	1.000000e+00	4.071738e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110513e-04	5.351295e-01	4.577310e-02	4.999997e-01	4.031441e-01	2.465153e-03	4.503964e-05	8.210823e-07
2.002808e-02	8.045015e-07	1.000000e+00	4.071843e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.352345e-01	4.577309e-02	4.999996e-01	4.031440e-01	2.465153e-03	4.503964e-05	8.210824e-07
2.003210e-02	8.051482e-07	1.000000e+00	4.071948e+00	6.579737e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.353395e-01	4.577309e-02	4.999996e-01	4.031440e-01	2.465153e-03	4.503964e-05	8.210825e-07
