
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau
5.000000e-02	3.125000e-05	1.000000e+00	3.536602e+00	6.579736e-01	2.435877e-01	1.151450e+00	3.653813e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757250e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04
5.015704e-02	3.164444e-05	1.000026e+00	3.492317e+00	6.580415e-01	2.436065e-01	1.151514e+00	3.653635e-01	5.757863e-01	1.827049e-01	5.000000e-01	4.501673e-01	4.742937e-02	6.693709e-03	9.112156e-04	5.757863e-01	1.827049e-01	5.000000e-01	4.501673e-01	4.742937e-02	6.693709e-03	9.112156e-04	5.311888e-01	1.533530e-01	2.683295e-01	2.644712e-01	4.057467e-02	6.062785e-03	8.483825e-04
5.031606e-02	3.204768e-05	1.000058e+00	3.492493e+00	6.581276e-01	2.436304e-01	1.151664e+00	3.653990e-01	5.758616e-01	1.827228e-01	5.000000e-01	4.501689e-01	4.743380e-02	6.694795e-03	9.114239e-04	5.758616e-01	1.827228e-01	5.000000e-01	4.501689e-01	4.743380e-02	6.694795e-03	9.114239e-04	5.309775e-01	1.532106e-01	2.677120e-01	2.638714e-01	4.053939e-02	6.060014e-03	8.481954e-04
5.047712e-02	3.245998e-05	1.000092e+00	3.492671e+00	6.582149e-01	2.436547e-01	1.151817e+00	3.654351e-01	5.759381e-01	1.827410e-01	5.000000e-01	4.501705e-01	4.743830e-02	6.695898e-03	9.116354e-04	5.759381e-01	1.827410e-01	5.000000e-01	4.501705e-01	4.743830e-02	6.695898e-03	9.116354e-04	5.307628e-01	1.530660e-01	2.670875e-01	2.632648e-01	4.050359e-02	6.057200e-03	8.480052e-04
5.064026e-02	3.288166e-05	1.000125e+00	3.492851e+00	6.583036e-01	2.436793e-01	1.151972e+00	3.654717e-01	5.760157e-01	1.827595e-01	5.000000e-01	4.501722e-01	4.744286e-02	6.697018e-03	9.118501e-04	5.760157e-01	1.827595e-01	5.000000e-01	4.501722e-01	4.744286e-02	6.697018e-03	9.118501e-04	5.305446e-01	1.529195e-01	2.664560e-01	2.626512e-01	4.046725e-02	6.054342e-03	8.478119e-04
5.080553e-02	3.331301e-05	1.000160e+00	3.493034e+00	6.583937e-01	2.437043e-01	1.152129e+00	3.655089e-01	5.760945e-01	1.827782e-01	5.000000e-01	4.501739e-01	4.744750e-02	6.698156e-03	9.120682e-04	5.760945e-01	1.827782e-01	5.000000e-01	4.501739e-01	4.744750e-02	6.698156e-03	9.120682e-04	5.303229e-01	1.527707e-01	2.658173e-01	2.620306e-01	4.043036e-02	6.051438e-03	8.476153e-04
5.097297e-02	3.375435e-05	1.000194e+00	3.493220e+00	6.584851e-01	2.437297e-01	1.152288e+00	3.655467e-01	5.761745e-01	1.827973e-01	5.000000e-01	4.501756e-01	4.745221e-02	6.699311e-03	9.122897e-04	5.761745e-01	1.827973e-01	5.000000e-01	4.501756e-01	4.745221e-02	6.699311e-03	9.122897e-04	5.300974e-01	1.526198e-01	2.651713e-01	2.614027e-01	4.039291e-02	6.048487e-03	8.474153e-04
5.114264e-02	3.420602e-05	1.000230e+00	3.493408e+00	6.585780e-01	2.437555e-01	1.152451e+00	3.655850e-01	5.762558e-01	1.828166e-01	5.000000e-01	4.501774e-01	4.745699e-02	6.700484e-03	9.125147e-04	5.762558e-01	1.828166e-01	5.000000e-01	4.501774e-01	4.745699e-02	6.700484e-03	9.125147e-04	5.298682e-01	1.524667e-01	2.645177e-01	2.607675e-01	4.035489e-02	6.045488e-03	8.472119e-04
5.131459e-02	3.466838e-05	1.000265e+00	3.493600e+00	6.586724e-01	2.437817e-01	1.152615e+00	3.656240e-01	5.763384e-01	1.828363e-01	5.000000e-01	4.501791e-01	4.746185e-02	6.701677e-03	9.127434e-04	5.763384e-01	1.828363e-01	5.000000e-01	4.501791e-01	4.746185e-02	6.701677e-03	9.127434e-04	5.296351e-01	1.523113e-01	2.638565e-01	2.601247e-01	4.031627e-02	6.042440e-03	8.470049e-04
5.148888e-02	3.514177e-05	1.000302e+00	3.493794e+00	6.587683e-01	2.438083e-01	1.152783e+00	3.656636e-01	5.764223e-01	1.828562e-01	5.000000e-01	4.501809e-01	4.746678e-02	6.702888e-03	9.129757e-04	5.764223e-01	1.828562e-01	5.000000e-01	4.501809e-01	4.746678e-02	6.702888e-03	9.129757e-04	5.293980e-01	1.521535e-01	2.631875e-01	2.594743e-01	4.027705e-02	6.039342e-03	8.467943e-04
5.166555e-02	3.562659e-05	1.000339e+00	3.493991e+00	6.588658e-01	2.438354e-01	1.152953e+00	3.657039e-01	5.765076e-01	1.828765e-01	5.000000e-01	4.501828e-01	4.747180e-02	6.704119e-03	9.132118e-04	5.765076e-01	1.828765e-01	5.000000e-01	4.501828e-01	4.747180e-02	6.704119e-03	9.132118e-04	5.291569e-01	1.519934e-01	2.625105e-01	2.588159e-01	4.023720e-02	6.036191e-03	8.465800e-04
5.184467e-02	3.612322e-05	1.000376e+00	3.494191e+00	6.589649e-01	2.438629e-01	1.153126e+00	3.657448e-01	5.765943e-01	1.828971e-01	5.000000e-01	4.501846e-01	4.747690e-02	6.705370e-03	9.134518e-04	5.765943e-01	1.828971e-01	5.000000e-01	4.501846e-01	4.747690e-02	6.705370e-03	9.134518e-04	5.289115e-01	1.518307e-01	2.618253e-01	2.581496e-01	4.019672e-02	6.032988e-03	8.463618e-04
5.202630e-02	3.663209e-05	1.000415e+00	3.494394e+00	6.590656e-01	2.438908e-01	1.153302e+00	3.657863e-01	5.766824e-01	1.829181e-01	5.000000e-01	4.501865e-01	4.748208e-02	6.706642e-03	9.136958e-04	5.766824e-01	1.829181e-01	5.000000e-01	4.501865e-01	4.748208e-02	6.706642e-03	9.136958e-04	5.286619e-01	1.516656e-01	2.611317e-01	2.574751e-01	4.015558e-02	6.029729e-03	8.461397e-04
5.221050e-02	3.715364e-05	1.000453e+00	3.494600e+00	6.591680e-01	2.439192e-01	1.153481e+00	3.658286e-01	5.767720e-01	1.829394e-01	5.000000e-01	4.501884e-01	4.748735e-02	6.707935e-03	9.139439e-04	5.767720e-01	1.829394e-01	5.000000e-01	4.501884e-01	4.748735e-02	6.707935e-03	9.139439e-04	5.284078e-01	1.514978e-01	2.604297e-01	2.567921e-01	4.011377e-02	6.026414e-03	8.459135e-04
5.239733e-02	3.768831e-05	1.000493e+00	3.494810e+00	6.592721e-01	2.439481e-01	1.153662e+00	3.658716e-01	5.768631e-01	1.829611e-01	5.000000e-01	4.501904e-01	4.749270e-02	6.709250e-03	9.141963e-04	5.768631e-01	1.829611e-01	5.000000e-01	4.501904e-01	4.749270e-02	6.709250e-03	9.141963e-04	5.281491e-01	1.513274e-01	2.597189e-01	2.561007e-01	4.007127e-02	6.023042e-03	8.456831e-04
5.258686e-02	3.823658e-05	1.000533e+00	3.495023e+00	6.593780e-01	2.439775e-01	1.153847e+00	3.659153e-01	5.769558e-01	1.829831e-01	5.000000e-01	4.501924e-01	4.749815e-02	6.710588e-03	9.144529e-04	5.769558e-01	1.829831e-01	5.000000e-01	4.501924e-01	4.749815e-02	6.710588e-03	9.144529e-04	5.278857e-01	1.511543e-01	2.589992e-01	2.554004e-01	4.002806e-02	6.019610e-03	8.454483e-04
5.277916e-02	3.879896e-05	1.000574e+00	3.495239e+00	6.594858e-01	2.440074e-01	1.154035e+00	3.659598e-01	5.770501e-01	1.830056e-01	5.000000e-01	4.501944e-01	4.750369e-02	6.711949e-03	9.147141e-04	5.770501e-01	1.830056e-01	5.000000e-01	4.501944e-01	4.750369e-02	6.711949e-03	9.147141e-04	5.276175e-01	1.509784e-01	2.582704e-01	2.546912e-01	3.998413e-02	6.016116e-03	8.452092e-04
5.297431e-02	3.937596e-05	1.000616e+00	3.495459e+00	6.595954e-01	2.440378e-01	1.154227e+00	3.660051e-01	5.771460e-01	1.830284e-01	5.000000e-01	4.501965e-01	4.750933e-02	6.713333e-03	9.149798e-04	5.771460e-01	1.830284e-01	5.000000e-01	4.501965e-01	4.750933e-02	6.713333e-03	9.149798e-04	5.273444e-01	1.507996e-01	2.575323e-01	2.539729e-01	3.993945e-02	6.012560e-03	8.449655e-04
5.317237e-02	3.996814e-05	1.000658e+00	3.495682e+00	6.597070e-01	2.440688e-01	1.154422e+00	3.660511e-01	5.772436e-01	1.830516e-01	5.000000e-01	4.501986e-01	4.751507e-02	6.714742e-03	9.152502e-04	5.772436e-01	1.830516e-01	5.000000e-01	4.501986e-01	4.751507e-02	6.714742e-03	9.152502e-04	5.270661e-01	1.506178e-01	2.567846e-01	2.532451e-01	3.989400e-02	6.008939e-03	8.447170e-04
5.337342e-02	4.057607e-05	1.000701e+00	3.495909e+00	6.598205e-01	2.441003e-01	1.154620e+00	3.660980e-01	5.773430e-01	1.830752e-01	5.000000e-01	4.502007e-01	4.752090e-02	6.716176e-03	9.155255e-04	5.773430e-01	1.830752e-01	5.000000e-01	4.502007e-01	4.752090e-02	6.716176e-03	9.155255e-04	5.267825e-01	1.504330e-01	2.560272e-01	2.525078e-01	3.984776e-02	6.005251e-03	8.444637e-04
5.357754e-02	4.120036e-05	1.000745e+00	3.496140e+00	6.599361e-01	2.441324e-01	1.154822e+00	3.661457e-01	5.774441e-01	1.830993e-01	5.000000e-01	4.502028e-01	4.752685e-02	6.717636e-03	9.158057e-04	5.774441e-01	1.830993e-01	5.000000e-01	4.502028e-01	4.752685e-02	6.717636e-03	9.158057e-04	5.264936e-01	1.502451e-01	2.552599e-01	2.517606e-01	3.980070e-02	6.001494e-03	8.442053e-04
5.378482e-02	4.184164e-05	1.000789e+00	3.496374e+00	6.600539e-01	2.441650e-01	1.155027e+00	3.661943e-01	5.775471e-01	1.831238e-01	5.000000e-01	4.502051e-01	4.753290e-02	6.719123e-03	9.160912e-04	5.775471e-01	1.831238e-01	5.000000e-01	4.502051e-01	4.753290e-02	6.719123e-03	9.160912e-04	5.261990e-01	1.500540e-01	2.544823e-01	2.510034e-01	3.975282e-02	5.997667e-03	8.439418e-04
5.399533e-02	4.250059e-05	1.000835e+00	3.496613e+00	6.601737e-01	2.441983e-01	1.155237e+00	3.662437e-01	5.776520e-01	1.831487e-01	5.000000e-01	4.502073e-01	4.753906e-02	6.720637e-03	9.163819e-04	5.776520e-01	1.831487e-01	5.000000e-01	4.502073e-01	4.753906e-02	6.720637e-03	9.163819e-04	5.258986e-01	1.498596e-01	2.536942e-01	2.502359e-01	3.970407e-02	5.993766e-03	8.436730e-04
5.420918e-02	4.317790e-05	1.000881e+00	3.496856e+00	6.602959e-01	2.442322e-01	1.155450e+00	3.662941e-01	5.777589e-01	1.831741e-01	5.000000e-01	4.502096e-01	4.754534e-02	6.722179e-03	9.166780e-04	5.777589e-01	1.831741e-01	5.000000e-01	4.502096e-01	4.754534e-02	6.722179e-03	9.166780e-04	5.255923e-01	1.496618e-01	2.528954e-01	2.494579e-01	3.965444e-02	5.989791e-03	8.433986e-04
5.442646e-02	4.387431e-05	1.000928e+00	3.497103e+00	6.604203e-01	2.442667e-01	1.155667e+00	3.663455e-01	5.778678e-01	1.832000e-01	5.000000e-01	4.502119e-01	4.755173e-02	6.723751e-03	9.169798e-04	5.778678e-01	1.832000e-01	5.000000e-01	4.502119e-01	4.755173e-02	6.723751e-03	9.169798e-04	5.252799e-01	1.494606e-01	2.520856e-01	2.486690e-01	3.960389e-02	5.985738e-03	8.431185e-04
