
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau
9.900990e-02	4.804902e-04	1.000000e+00	3.536602e+00	6.579736e-01	2.435877e-01	1.151450e+00	3.653813e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757250e-01	1.826907e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04
1.009823e-01	5.049114e-04	1.000012e+00	3.532706e+00	6.580040e-01	2.435961e-01	1.151281e+00	3.652072e-01	5.757509e-01	1.826966e-01	5.000000e-01	4.501665e-01	4.742736e-02	6.693214e-03	9.111209e-04	5.757509e-01	1.826966e-01	5.000000e-01	4.501665e-01	4.742736e-02	6.693214e-03	9.111209e-04	5.719198e-01	1.795874e-01	4.252064e-01	4.105362e-01	4.674954e-02	6.633128e-03	9.052346e-04
1.019946e-01	5.099731e-04	1.000016e+00	3.532798e+00	6.580158e-01	2.435994e-01	1.151297e+00	3.652083e-01	5.757621e-01	1.827009e-01	5.000000e-01	4.501744e-01	4.742852e-02	6.693311e-03	9.111273e-04	5.757650e-01	1.827021e-01	5.000000e-01	4.501754e-01	4.742887e-02	6.693332e-03	9.111265e-04	5.719583e-01	1.795722e-01	4.250023e-01	4.103470e-01	4.674697e-02	6.632920e-03	9.052046e-04
1.030171e-01	5.150856e-04	1.000023e+00	3.532897e+00	6.580331e-01	2.436042e-01	1.151323e+00	3.652117e-01	5.757832e-01	1.827085e-01	5.000000e-01	4.501888e-01	4.743059e-02	6.693519e-03	9.111455e-04	5.757908e-01	1.827118e-01	5.000000e-01	4.501927e-01	4.743158e-02	6.693570e-03	9.111410e-04	5.719672e-01	1.795435e-01	4.246102e-01	4.099949e-01	4.674170e-02	6.632498e-03	9.051522e-04
1.040499e-01	5.202494e-04	1.000031e+00	3.533000e+00	6.580542e-01	2.436101e-01	1.151355e+00	3.652166e-01	5.758098e-01	1.827176e-01	5.000000e-01	4.502062e-01	4.743308e-02	6.693800e-03	9.111745e-04	5.758231e-01	1.827235e-01	5.000000e-01	4.502149e-01	4.743486e-02	6.693886e-03	9.111645e-04	5.719577e-01	1.795065e-01	4.240993e-01	4.095474e-01	4.673456e-02	6.631928e-03	9.050883e-04
1.050930e-01	5.254649e-04	1.000040e+00	3.533104e+00	6.580780e-01	2.436167e-01	1.151392e+00	3.652225e-01	5.758395e-01	1.827274e-01	5.000000e-01	4.502245e-01	4.743576e-02	6.694128e-03	9.112123e-04	5.758587e-01	1.827361e-01	5.000000e-01	4.502395e-01	4.743836e-02	6.694251e-03	9.111964e-04	5.719363e-01	1.794640e-01	4.235133e-01	4.090424e-01	4.672609e-02	6.631258e-03	9.050187e-04
1.061465e-01	5.307326e-04	1.000050e+00	3.533210e+00	6.581040e-01	2.436239e-01	1.151432e+00	3.652292e-01	5.758709e-01	1.827374e-01	5.000000e-01	4.502426e-01	4.743848e-02	6.694489e-03	9.112575e-04	5.758959e-01	1.827489e-01	5.000000e-01	4.502648e-01	4.744189e-02	6.694647e-03	9.112355e-04	5.719072e-01	1.794176e-01	4.228787e-01	4.085012e-01	4.671666e-02	6.630520e-03	9.049467e-04
1.072106e-01	5.360532e-04	1.000060e+00	3.533317e+00	6.581315e-01	2.436315e-01	1.151476e+00	3.652365e-01	5.759033e-01	1.827475e-01	5.000000e-01	4.502597e-01	4.744120e-02	6.694872e-03	9.113087e-04	5.759339e-01	1.827616e-01	5.000000e-01	4.502898e-01	4.744539e-02	6.695064e-03	9.112809e-04	5.718727e-01	1.793682e-01	4.222115e-01	4.079356e-01	4.670650e-02	6.629734e-03	9.048740e-04
1.082854e-01	5.414272e-04	1.000071e+00	3.533425e+00	6.581605e-01	2.436396e-01	1.151521e+00	3.652444e-01	5.759364e-01	1.827576e-01	5.000000e-01	4.502758e-01	4.744389e-02	6.695271e-03	9.113649e-04	5.759723e-01	1.827741e-01	5.000000e-01	4.503139e-01	4.744881e-02	6.695495e-03	9.113318e-04	5.718343e-01	1.793165e-01	4.215216e-01	4.073523e-01	4.669575e-02	6.628911e-03	9.048015e-04
1.093710e-01	5.468550e-04	1.000082e+00	3.533533e+00	6.581906e-01	2.436479e-01	1.151569e+00	3.652526e-01	5.759701e-01	1.827676e-01	5.000000e-01	4.502908e-01	4.744656e-02	6.695684e-03	9.114254e-04	5.760108e-01	1.827865e-01	5.000000e-01	4.503368e-01	4.745214e-02	6.695938e-03	9.113874e-04	5.717929e-01	1.792628e-01	4.208146e-01	4.067552e-01	4.668449e-02	6.628059e-03	9.047297e-04
