#x	Curve1
0.363368	0.000215904
0.657938	0.00230537
0.935792	0.00710283
1.16192	0.0127325
1.3362	0.0185695
1.58039	0.0277413
1.82446	0.036288
2.03365	0.043584
2.24275	0.0504634
2.41693	0.0558837
2.69519	0.0625561
3.0076	0.067146
3.16354	0.0681909
3.38863	0.0690289
3.61341	0.0684086
3.78624	0.0675789
4.07968	0.06446
4.42476	0.0600922
4.76952	0.054266
5.18317	0.046983
5.76925	0.0369952
6.20033	0.0303375
6.7869	0.0226414
7.16667	0.018691
7.66741	0.0141181
8.18564	0.0103789
8.7905	0.00726647
9.25727	0.00560953
9.96621	0.0037493
