xx=6.801460e+00, dx=1.000000e-02, T=1.160608e+00; time needed till here: 3.407000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
0.000000e+00	     inf	4.767086e-02	5.000000e-01	4.972692e-24	-4.256100e-22	4.305827e-22	5.000000e-01	4.663719e-24	-4.245628e-22	4.292265e-22	3.905415e-01	-1.676708e-04	-2.479642e-04	8.029341e-05
2.020202e-01	5.259508e+00	4.744191e-02	4.509323e-01	2.199465e-08	-5.452915e-06	5.474909e-06	4.511423e-01	4.899533e-08	-5.156773e-06	5.205769e-06	3.764010e-01	-1.575272e-04	-2.386431e-04	8.111586e-05
4.040404e-01	2.401457e+00	4.676360e-02	4.023440e-01	1.175698e-07	-1.121921e-05	1.133678e-05	4.026644e-01	2.256647e-07	-1.023680e-05	1.046247e-05	3.468679e-01	-1.386813e-04	-2.208263e-04	8.214503e-05
6.060606e-01	1.458323e+00	4.566080e-02	3.553805e-01	4.073499e-07	-1.645148e-05	1.685883e-05	3.557461e-01	6.253768e-07	-1.471852e-05	1.534389e-05	3.124530e-01	-1.171936e-04	-2.010460e-04	8.385246e-05
8.080808e-01	9.938105e-01	4.417286e-02	3.109175e-01	8.805229e-07	-2.094271e-05	2.182323e-05	3.112858e-01	1.207552e-06	-1.845865e-05	1.966621e-05	2.771548e-01	-9.675368e-05	-1.813966e-04	8.464288e-05
1.010101e+00	7.206294e-01	4.235065e-02	2.696152e-01	1.438582e-06	-2.420951e-05	2.564809e-05	2.699597e-01	1.850100e-06	-2.106914e-05	2.291924e-05	2.428673e-01	-7.881031e-05	-1.616777e-04	8.286735e-05
1.212121e+00	5.429916e-01	4.025305e-02	2.319067e-01	1.961814e-06	-2.644837e-05	2.841018e-05	2.322118e-01	2.418211e-06	-2.283958e-05	2.525779e-05	2.106868e-01	-6.325535e-05	-1.423097e-04	7.905437e-05
1.414141e+00	4.198264e-01	3.794315e-02	1.980126e-01	2.381880e-06	-2.755719e-05	2.993907e-05	1.982687e-01	2.835441e-06	-2.364831e-05	2.648375e-05	1.811683e-01	-4.836562e-05	-1.270086e-04	7.864297e-05
1.616162e+00	3.305839e-01	3.548471e-02	1.679722e-01	2.627133e-06	-2.796498e-05	3.059211e-05	1.681779e-01	3.030224e-06	-2.387232e-05	2.690255e-05	1.546300e-01	-3.669566e-05	-1.123761e-04	7.568044e-05
1.818182e+00	2.638368e-01	3.293895e-02	1.416745e-01	2.673179e-06	-2.741387e-05	3.008705e-05	1.418311e-01	2.985552e-06	-2.325104e-05	2.623659e-05	1.311148e-01	-2.815378e-05	-9.809823e-05	6.994445e-05
2.020202e+00	2.127209e-01	3.036213e-02	1.188972e-01	2.574994e-06	-2.644941e-05	2.902440e-05	1.190091e-01	2.773742e-06	-2.234210e-05	2.511584e-05	1.105410e-01	-2.078612e-05	-8.460741e-05	6.382129e-05
2.222222e+00	1.728627e-01	2.780374e-02	9.935600e-02	2.367951e-06	-2.507474e-05	2.744269e-05	9.942913e-02	2.435002e-06	-2.111319e-05	2.354820e-05	9.275435e-02	-1.545938e-05	-7.301924e-05	5.755985e-05
2.424242e+00	1.413434e-01	2.530557e-02	8.272153e-02	2.116489e-06	-2.327566e-05	2.539215e-05	8.276196e-02	2.053218e-06	-1.950476e-05	2.155797e-05	7.751544e-02	-9.327942e-06	-6.417365e-05	5.484570e-05
2.626263e+00	1.161403e-01	2.290124e-02	6.865873e-02	1.812805e-06	-2.138030e-05	2.319311e-05	6.867271e-02	1.631735e-06	-1.782974e-05	1.946148e-05	6.454412e-02	-6.242612e-06	-5.555510e-05	4.931249e-05
2.828283e+00	9.580840e-02	2.061645e-02	5.683839e-02	1.542170e-06	-1.951766e-05	2.105983e-05	5.683184e-02	1.258084e-06	-1.621191e-05	1.747000e-05	5.358005e-02	-4.360242e-06	-4.786552e-05	4.350528e-05
3.030303e+00	7.928874e-02	1.846945e-02	4.694928e-02	1.276931e-06	-1.765360e-05	1.893053e-05	4.692724e-02	9.105066e-07	-1.461442e-05	1.552492e-05	4.436584e-02	-3.135747e-06	-4.057996e-05	3.744421e-05
3.232323e+00	6.578848e-02	1.647189e-02	3.871024e-02	1.061930e-06	-1.573947e-05	1.680140e-05	3.867716e-02	6.274996e-07	-1.297973e-05	1.360723e-05	3.666465e-02	-1.936891e-06	-3.447278e-05	3.253589e-05
3.434343e+00	5.470337e-02	1.462972e-02	3.186918e-02	8.881069e-07	-1.394685e-05	1.483495e-05	3.182875e-02	4.015122e-07	-1.145767e-05	1.185918e-05	3.024448e-02	-1.078176e-06	-2.926880e-05	2.819062e-05
3.636364e+00	4.556591e-02	1.294422e-02	2.620436e-02	7.365243e-07	-1.231363e-05	1.305015e-05	2.615952e-02	2.219006e-07	-1.008209e-05	1.030399e-05	2.490928e-02	-3.073008e-07	-2.515321e-05	2.484591e-05
3.838384e+00	3.800975e-02	1.141291e-02	2.152376e-02	6.204132e-07	-1.083668e-05	1.145709e-05	2.147683e-02	8.834062e-08	-8.844624e-06	8.932965e-06	2.048799e-02	3.158878e-07	-2.128371e-05	2.159960e-05
4.040404e+00	3.174467e-02	1.003047e-02	1.766413e-02	5.316289e-07	-9.505757e-06	1.003739e-05	1.761685e-02	-5.258066e-09	-7.735296e-06	7.730038e-06	1.683295e-02	6.721824e-07	-1.799429e-05	1.866647e-05
4.242424e+00	2.653865e-02	8.789489e-03	1.448649e-02	4.614657e-07	-8.281313e-06	8.742779e-06	1.444019e-02	-6.747409e-08	-6.716189e-06	6.648715e-06	1.381777e-02	7.701721e-07	-1.521504e-05	1.598521e-05
4.444444e+00	2.220477e-02	7.681184e-03	1.187390e-02	4.062532e-07	-7.155513e-06	7.561766e-06	1.182948e-02	-1.078673e-07	-5.779060e-06	5.671193e-06	1.133554e-02	6.695405e-07	-1.288455e-05	1.355409e-05
4.646465e+00	1.859145e-02	6.695926e-03	9.728085e-03	3.779946e-07	-6.171875e-06	6.549870e-06	9.686189e-03	-1.164190e-07	-4.968505e-06	4.852086e-06	9.293123e-03	7.329577e-07	-1.086098e-05	1.159394e-05
4.848485e+00	1.557508e-02	5.823691e-03	7.966908e-03	3.577200e-07	-5.316235e-06	5.673955e-06	7.927940e-03	-1.097249e-07	-4.269487e-06	4.159762e-06	7.614374e-03	6.607807e-07	-9.085075e-06	9.745855e-06
5.050505e+00	1.305437e-02	5.054420e-03	6.522563e-03	3.484439e-07	-4.568608e-06	4.917052e-06	6.486699e-03	-9.104518e-08	-3.659408e-06	3.568362e-06	6.235868e-03	7.072125e-07	-7.647427e-06	8.354640e-06
5.252525e+00	1.094602e-02	4.378268e-03	5.338625e-03	3.530474e-07	-3.921827e-06	4.274874e-06	5.305921e-03	-5.723256e-08	-3.134106e-06	3.076873e-06	5.104695e-03	6.682094e-07	-6.457290e-06	7.125500e-06
5.454545e+00	9.181258e-03	3.785801e-03	4.368688e-03	3.533987e-07	-3.362227e-06	3.715625e-06	4.339093e-03	-2.553585e-08	-2.681476e-06	2.655940e-06	4.177272e-03	5.496215e-07	-5.427746e-06	5.977368e-06
5.656566e+00	7.703189e-03	3.268122e-03	3.574426e-03	3.511934e-07	-2.874988e-06	3.226181e-06	3.547809e-03	3.680590e-09	-2.288010e-06	2.291691e-06	3.417323e-03	4.896449e-07	-4.523865e-06	5.013510e-06
5.858586e+00	6.464596e-03	2.816949e-03	2.924248e-03	3.520510e-07	-2.448064e-06	2.800115e-06	2.900444e-03	3.329750e-08	-1.942182e-06	1.975479e-06	2.795040e-03	4.836920e-07	-3.786051e-06	4.269743e-06
6.060606e+00	5.426227e-03	2.424655e-03	2.392129e-03	3.592811e-07	-2.078625e-06	2.437906e-06	2.370959e-03	6.914979e-08	-1.643895e-06	1.713044e-06	2.285779e-03	4.255211e-07	-3.156930e-06	3.582451e-06
