       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f1_nu_e	f10_nu_e	f20_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f1_nu_mu	f10_nu_mu	f20_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f1_nu_tau	f10_nu_tau	f20_nu_tau	rho_steriles	n_steriles	f0_steriles	f0.2_steriles	f1_steriles	f10_steriles	f20_steriles
2.000000e-02	8.000000e-07	1.000000e+00	4.688126e+00	6.579736e-01	2.435877e-01	1.151486e+00	3.653838e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	2.689414e-01	4.539787e-05	2.061154e-09	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	2.689414e-01	4.539787e-05	2.061154e-09	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	2.689414e-01	4.539787e-05	2.061154e-09	1.151486e+00	3.653838e-01	5.000000e-01	4.501660e-01	2.689414e-01	4.539787e-05	2.061154e-09
2.000400e-02	8.006404e-07	1.000001e+00	4.647778e+00	6.579769e-01	2.435886e-01	1.151483e+00	3.653778e-01	5.757297e-01	1.826914e-01	5.000000e-01	4.501661e-01	2.689417e-01	4.539843e-05	2.061204e-09	5.757297e-01	1.826914e-01	5.000000e-01	4.501661e-01	2.689417e-01	4.539843e-05	2.061204e-09	5.757297e-01	1.826914e-01	5.000000e-01	4.501661e-01	2.689417e-01	4.539843e-05	2.061204e-09	1.111130e+00	3.361512e-01	3.366777e-01	3.302593e-01	2.300111e-01	4.436769e-05	2.037650e-09
2.000801e-02	8.012817e-07	1.000003e+00	4.647791e+00	6.579809e-01	2.435897e-01	1.151490e+00	3.653795e-01	5.757333e-01	1.826923e-01	5.000000e-01	4.501661e-01	2.689420e-01	4.539912e-05	2.061267e-09	5.757333e-01	1.826923e-01	5.000000e-01	4.501661e-01	2.689420e-01	4.539912e-05	2.061267e-09	5.757333e-01	1.826923e-01	5.000000e-01	4.501661e-01	2.689420e-01	4.539912e-05	2.061267e-09	1.111120e+00	3.361421e-01	3.366476e-01	3.302307e-01	2.299979e-01	4.436796e-05	2.037703e-09
2.001201e-02	8.019239e-07	1.000003e+00	4.656787e+00	6.579817e-01	2.435899e-01	1.151491e+00	3.653798e-01	5.757340e-01	1.826924e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539927e-05	2.061280e-09	5.757340e-01	1.826924e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539927e-05	2.061280e-09	5.757340e-01	1.826924e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539927e-05	2.061280e-09	1.120113e+00	3.361403e-01	3.366416e-01	3.302250e-01	2.299953e-01	4.436801e-05	2.037713e-09
2.001602e-02	8.025670e-07	1.000003e+00	4.656800e+00	6.579818e-01	2.435900e-01	1.151491e+00	3.653799e-01	5.757341e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539929e-05	2.061282e-09	5.757341e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539929e-05	2.061282e-09	5.757341e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689420e-01	4.539929e-05	2.061282e-09	1.120124e+00	3.361401e-01	3.366415e-01	3.302249e-01	2.299953e-01	4.436799e-05	2.037712e-09
2.002004e-02	8.032110e-07	1.000003e+00	4.656812e+00	6.579821e-01	2.435900e-01	1.151492e+00	3.653800e-01	5.757343e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539932e-05	2.061286e-09	5.757343e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539932e-05	2.061286e-09	5.757343e-01	1.826925e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539932e-05	2.061286e-09	1.120135e+00	3.361398e-01	3.366412e-01	3.302247e-01	2.299952e-01	4.436794e-05	2.037710e-09
2.002406e-02	8.038559e-07	1.000003e+00	4.656824e+00	6.579824e-01	2.435901e-01	1.151492e+00	3.653801e-01	5.757346e-01	1.826926e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539938e-05	2.061291e-09	5.757346e-01	1.826926e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539938e-05	2.061291e-09	5.757346e-01	1.826926e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539938e-05	2.061291e-09	1.120146e+00	3.361394e-01	3.366409e-01	3.302244e-01	2.299950e-01	4.436788e-05	2.037708e-09
2.002808e-02	8.045017e-07	1.000003e+00	4.656837e+00	6.579828e-01	2.435902e-01	1.151493e+00	3.653803e-01	5.757349e-01	1.826927e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539945e-05	2.061297e-09	5.757349e-01	1.826927e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539945e-05	2.061297e-09	5.757349e-01	1.826927e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539945e-05	2.061297e-09	1.120156e+00	3.361388e-01	3.366404e-01	3.302240e-01	2.299947e-01	4.436780e-05	2.037706e-09
2.003210e-02	8.051484e-07	1.000004e+00	4.656849e+00	6.579833e-01	2.435904e-01	1.151494e+00	3.653805e-01	5.757354e-01	1.826928e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539953e-05	2.061305e-09	5.757354e-01	1.826928e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539953e-05	2.061305e-09	5.757354e-01	1.826928e-01	5.000000e-01	4.501662e-01	2.689421e-01	4.539953e-05	2.061305e-09	1.120166e+00	3.361380e-01	3.366398e-01	3.302235e-01	2.299943e-01	4.436771e-05	2.037704e-09
2.003613e-02	8.057960e-07	1.000004e+00	4.656861e+00	6.579838e-01	2.435905e-01	1.151495e+00	3.653807e-01	5.757359e-01	1.826929e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539963e-05	2.061314e-09	5.757359e-01	1.826929e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539963e-05	2.061314e-09	5.757359e-01	1.826929e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539963e-05	2.061314e-09	1.120175e+00	3.361372e-01	3.366392e-01	3.302228e-01	2.299938e-01	4.436761e-05	2.037701e-09
2.004016e-02	8.064446e-07	1.000004e+00	4.656874e+00	6.579845e-01	2.435907e-01	1.151496e+00	3.653810e-01	5.757364e-01	1.826930e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539974e-05	2.061324e-09	5.757364e-01	1.826930e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539974e-05	2.061324e-09	5.757364e-01	1.826930e-01	5.000000e-01	4.501662e-01	2.689422e-01	4.539974e-05	2.061324e-09	1.120184e+00	3.361361e-01	3.366384e-01	3.302221e-01	2.299932e-01	4.436749e-05	2.037699e-09
2.004419e-02	8.070940e-07	1.000004e+00	4.656886e+00	6.579852e-01	2.435909e-01	1.151497e+00	3.653813e-01	5.757371e-01	1.826932e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.539987e-05	2.061335e-09	5.757371e-01	1.826932e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.539987e-05	2.061335e-09	5.757371e-01	1.826932e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.539987e-05	2.061335e-09	1.120192e+00	3.361350e-01	3.366375e-01	3.302212e-01	2.299926e-01	4.436737e-05	2.037698e-09
2.004823e-02	8.077444e-07	1.000005e+00	4.656898e+00	6.579861e-01	2.435911e-01	1.151499e+00	3.653816e-01	5.757378e-01	1.826933e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.540001e-05	2.061348e-09	5.757378e-01	1.826933e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.540001e-05	2.061348e-09	5.757378e-01	1.826933e-01	5.000000e-01	4.501662e-01	2.689423e-01	4.540001e-05	2.061348e-09	1.120200e+00	3.361337e-01	3.366365e-01	3.302203e-01	2.299918e-01	4.436723e-05	2.037697e-09
