
       x	      dx	       T	energy_tot	rho_photons	n_photons	rho_electrons	n_electrons	rho_nu_e	  n_nu_e	 f0_nu_e	f0.2_nu_e	 f3_nu_e	 f5_nu_e	 f7_nu_e	rho_nu_mu	 n_nu_mu	f0_nu_mu	f0.2_nu_mu	f3_nu_mu	f5_nu_mu	f7_nu_mu	rho_nu_tau	n_nu_tau	f0_nu_tau	f0.2_nu_tau	f3_nu_tau	f5_nu_tau	f7_nu_tau
5.000000e-02	3.125000e-05	1.000000e+00	3.536608e+00	6.579736e-01	2.435877e-01	1.151454e+00	3.653815e-01	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04	5.757269e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742587e-02	6.692851e-03	9.110512e-04
5.015704e-02	3.164444e-05	1.000000e+00	3.536554e+00	6.579737e-01	2.435877e-01	1.151399e+00	3.653354e-01	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04	5.757270e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742588e-02	6.692852e-03	9.110514e-04
5.031606e-02	3.204768e-05	1.000000e+00	3.536554e+00	6.579739e-01	2.435877e-01	1.151399e+00	3.653352e-01	5.757271e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692854e-03	9.110518e-04	5.757271e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692854e-03	9.110518e-04	5.757271e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692854e-03	9.110518e-04
5.047712e-02	3.245998e-05	1.000000e+00	3.536555e+00	6.579740e-01	2.435878e-01	1.151399e+00	3.653349e-01	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692856e-03	9.110521e-04	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692856e-03	9.110521e-04	5.757272e-01	1.826908e-01	5.000000e-01	4.501660e-01	4.742589e-02	6.692856e-03	9.110521e-04
5.064026e-02	3.288166e-05	1.000000e+00	3.536555e+00	6.579741e-01	2.435878e-01	1.151399e+00	3.653347e-01	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04	5.757274e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742590e-02	6.692857e-03	9.110524e-04
5.080553e-02	3.331301e-05	1.000000e+00	3.536555e+00	6.579743e-01	2.435879e-01	1.151399e+00	3.653344e-01	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110527e-04	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110527e-04	5.757275e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692859e-03	9.110527e-04
5.097297e-02	3.375435e-05	1.000000e+00	3.536556e+00	6.579744e-01	2.435879e-01	1.151399e+00	3.653342e-01	5.757276e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692861e-03	9.110531e-04	5.757276e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692861e-03	9.110531e-04	5.757276e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742591e-02	6.692861e-03	9.110531e-04
5.114264e-02	3.420602e-05	1.000000e+00	3.536556e+00	6.579745e-01	2.435879e-01	1.151399e+00	3.653339e-01	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110534e-04	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110534e-04	5.757277e-01	1.826909e-01	5.000000e-01	4.501660e-01	4.742592e-02	6.692862e-03	9.110534e-04
5.131459e-02	3.466838e-05	1.000000e+00	3.536557e+00	6.579747e-01	2.435880e-01	1.151398e+00	3.653337e-01	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04	5.757278e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692864e-03	9.110537e-04
5.148888e-02	3.514177e-05	1.000000e+00	3.536557e+00	6.579748e-01	2.435880e-01	1.151398e+00	3.653334e-01	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04	5.757280e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742593e-02	6.692866e-03	9.110541e-04
5.166555e-02	3.562659e-05	1.000001e+00	3.536557e+00	6.579750e-01	2.435880e-01	1.151398e+00	3.653331e-01	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04	5.757281e-01	1.826910e-01	5.000000e-01	4.501660e-01	4.742594e-02	6.692868e-03	9.110545e-04
5.184467e-02	3.612322e-05	1.000001e+00	3.536558e+00	6.579751e-01	2.435881e-01	1.151398e+00	3.653328e-01	5.757282e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110548e-04	5.757282e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110548e-04	5.757282e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742595e-02	6.692870e-03	9.110548e-04
5.202630e-02	3.663209e-05	1.000001e+00	3.536558e+00	6.579753e-01	2.435881e-01	1.151398e+00	3.653326e-01	5.757284e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742596e-02	6.692872e-03	9.110552e-04	5.757284e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742596e-02	6.692872e-03	9.110552e-04	5.757284e-01	1.826911e-01	5.000000e-01	4.501660e-01	4.742596e-02	6.692872e-03	9.110552e-04
